№    | Дата/время           | Темп.(°C)    | Осадки(мм)  
--------------------------------------------------------
1    | 2026-06-02T00:00     | 10.5 °C      | 0.0 мм      
2    | 2026-06-02T01:00     | 10.8 °C      | 0.0 мм      
3    | 2026-06-02T02:00     | 10.8 °C      | 0.0 мм      
4    | 2026-06-02T03:00     | 10.8 °C      | 0.0 мм      
5    | 2026-06-02T04:00     | 10.9 °C      | 0.0 мм      
6    | 2026-06-02T05:00     | 11.4 °C      | 0.0 мм      
7    | 2026-06-02T06:00     | 12.2 °C      | 0.0 мм      
8    | 2026-06-02T07:00     | 12.8 °C      | 0.0 мм      
9    | 2026-06-02T08:00     | 13.5 °C      | 0.0 мм      
10   | 2026-06-02T09:00     | 13.6 °C      | 0.0 мм      
11   | 2026-06-02T10:00     | 14.2 °C      | 0.0 мм      
12   | 2026-06-02T11:00     | 15.3 °C      | 0.0 мм      
13   | 2026-06-02T12:00     | 15.8 °C      | 0.0 мм      
14   | 2026-06-02T13:00     | 16.6 °C      | 0.0 мм      
15   | 2026-06-02T14:00     | 16.2 °C      | 0.0 мм      
16   | 2026-06-02T15:00     | 16.9 °C      | 0.0 мм      
17   | 2026-06-02T16:00     | 16.7 °C      | 0.0 мм      
18   | 2026-06-02T17:00     | 16.4 °C      | 0.0 мм      
19   | 2026-06-02T18:00     | 15.7 °C      | 0.0 мм      
20   | 2026-06-02T19:00     | 14.6 °C      | 0.0 мм      
21   | 2026-06-02T20:00     | 12.7 °C      | 0.0 мм      
22   | 2026-06-02T21:00     | 11.0 °C      | 0.0 мм      
23   | 2026-06-02T22:00     | 9.6 °C       | 0.0 мм      
24   | 2026-06-02T23:00     | 8.6 °C       | 0.0 мм      
